,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,predictable_ntrials,predictable_ncorrect,predictable_rt_mean,predictable_rt_mean_outrmvd,predictable_rt_outrmvd,predictable_dprime,predictable_criterion,predictable_N,predictable_S,predictable_H,predictable_F,predictable_non-switch_ntrials,predictable_non-switch_ncorrect,predictable_non-switch_rt_mean,predictable_non-switch_rt_mean_outrmvd,predictable_non-switch_rt_outrmvd,predictable_non-switch_dprime,predictable_non-switch_criterion,predictable_non-switch_N,predictable_non-switch_S,predictable_non-switch_H,predictable_non-switch_F,predictable_switch_ntrials,predictable_switch_ncorrect,predictable_switch_rt_mean,predictable_switch_rt_mean_outrmvd,predictable_switch_rt_outrmvd,predictable_switch_dprime,predictable_switch_criterion,predictable_switch_N,predictable_switch_S,predictable_switch_H,predictable_switch_F,random_ntrials,random_ncorrect,random_rt_mean,random_rt_mean_outrmvd,random_rt_outrmvd,random_dprime,random_criterion,random_N,random_S,random_H,random_F,random_non-switch_ntrials,random_non-switch_ncorrect,random_non-switch_rt_mean,random_non-switch_rt_mean_outrmvd,random_non-switch_rt_outrmvd,random_non-switch_dprime,random_non-switch_criterion,random_non-switch_N,random_non-switch_S,random_non-switch_H,random_non-switch_F,random_switch_ntrials,random_switch_ncorrect,random_switch_rt_mean,random_switch_rt_mean_outrmvd,random_switch_rt_outrmvd,random_switch_dprime,random_switch_criterion,random_switch_N,random_switch_S,random_switch_H,random_switch_F,stroop_ncorrect,stroop_dprime,stroop_rt_mean_outrmvd,cost_predictable_ncorrect,cost_predictable_dprime,cost_predictable_rt_mean_outrmvd,cost_random_ncorrect,cost_random_dprime,cost_random_rt_mean_outrmvd,group
4273,202.0,152.0,676.019736842,619.0,7.0,1.36779771795,0.0317198726299,97.0,105.0,78.0,23.0,101.0,75.0,675.373333333,619.625,3.0,1.30156143786,-0.0237090312662,49.0,52.0,39.0,13.0,50.0,34.0,719.411764706,719.411764706,0.0,0.942663513167,0.0406044572879,23.0,27.0,18.0,7.0,50.0,40.0,622.825,579.564102564,1.0,1.70373748348,-0.115552824363,26.0,24.0,20.0,6.0,101.0,77.0,676.649350649,637.459459459,3.0,1.44281812576,0.0908087386181,48.0,53.0,39.0,10.0,50.0,39.0,639.743589744,617.631578947,1.0,1.65942104665,0.294627708241,23.0,27.0,19.0,3.0,50.0,37.0,687.621621622,658.388888889,1.0,1.28483820007,-0.093896817339,24.0,26.0,20.0,7.0,68.0,3.73650517553,-79.6599171652,6.0,0.761073970311,-139.847662142,-2.0,-0.374582846581,40.7573099415,1.0
4307,202.0,200.0,1182.265,1137.44615385,5.0,4.64266426224,0.247503596621,97.0,105.0,103.0,0.0,101.0,101.0,1201.86138614,1152.41836735,3.0,4.67447807477,-0.0108911633453,49.0,52.0,52.0,0.0,50.0,50.0,1013.46,952.125,2.0,4.13699962455,-0.0316656805715,23.0,27.0,27.0,0.0,50.0,50.0,1392.7,1361.12244898,1.0,4.13910447666,0.0158033277,26.0,24.0,24.0,0.0,101.0,99.0,1162.27272727,1123.1443299,2.0,4.09634504605,0.270585447952,48.0,53.0,51.0,0.0,50.0,50.0,1049.66,1014.14285714,1.0,4.13699962455,-0.0316656805715,23.0,27.0,27.0,0.0,50.0,48.0,1281.29166667,1239.82978723,1.0,3.4798257829,0.313836019179,24.0,26.0,24.0,0.0,28.0,0.780448847316,-263.685200846,0.0,0.00210485211779,408.99744898,-2.0,-0.657173841641,225.686930091,0.0
4346,202.0,199.0,1384.07035176,1297.56185567,5.0,4.47105222352,0.333309615978,97.0,105.0,102.0,0.0,101.0,99.0,1521.31313131,1376.71578947,4.0,4.09517291256,0.278761417761,49.0,52.0,50.0,0.0,50.0,48.0,1276.95833333,1194.12765957,1.0,3.48293772462,0.295365269392,23.0,27.0,25.0,0.0,50.0,50.0,1695.12,1555.5,2.0,4.13910447666,0.0158033277,26.0,24.0,24.0,0.0,101.0,100.0,1248.2,1221.60606061,1.0,4.39647044922,0.120522746369,48.0,53.0,52.0,0.0,50.0,50.0,1048.86,1020.06122449,1.0,4.13699962455,-0.0316656805715,23.0,27.0,27.0,0.0,50.0,49.0,1397.87755102,1397.87755102,0.0,3.82257394915,0.142461936057,24.0,26.0,25.0,0.0,29.0,0.977992699086,-80.574025974,2.0,0.656166752044,361.372340426,-1.0,-0.314425675395,377.816326531,1.0
4365,202.0,198.0,1452.81818182,1389.5257732,4.0,4.21711373124,0.206340369839,97.0,105.0,102.0,1.0,101.0,100.0,1462.2,1431.01010101,1.0,4.3935211906,-0.151369605429,49.0,52.0,52.0,1.0,50.0,49.0,1053.32653061,901.347826087,3.0,3.81184079935,-0.194245093167,23.0,27.0,27.0,1.0,50.0,50.0,1847.94,1792.79591837,1.0,4.13910447666,0.0158033277,26.0,24.0,24.0,0.0,101.0,98.0,1443.24489796,1346.29473684,3.0,3.90269720853,0.367409366713,48.0,53.0,50.0,0.0,50.0,48.0,1089.625,1016.42553191,1.0,3.48293772462,0.295365269392,23.0,27.0,25.0,0.0,50.0,49.0,1780.32653061,1664.38297872,2.0,3.82257394915,0.142461936057,24.0,26.0,25.0,0.0,28.0,0.797235697415,17.2593075003,1.0,0.327263677309,891.44809228,1.0,0.339636224531,647.957446809,0.0
4366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
4367,202.0,150.0,1342.48,1246.75862069,5.0,1.30981484442,0.0607113093939,97.0,105.0,76.0,23.0,101.0,75.0,1503.69333333,1382.58333333,3.0,1.30577455871,0.0377461747584,49.0,52.0,38.0,12.0,50.0,35.0,1550.4,1369.51515152,2.0,1.07139418921,0.104969795312,23.0,27.0,18.0,6.0,50.0,39.0,1422.38461538,1300.32432432,2.0,1.54853371888,-0.0379509420619,26.0,24.0,19.0,6.0,101.0,75.0,1181.26666667,1147.46575342,2.0,1.31549070021,0.0838486937567,48.0,53.0,38.0,11.0,50.0,39.0,1165.92307692,1128.71052632,1.0,1.65942104665,0.294627708241,23.0,27.0,19.0,3.0,50.0,35.0,1200.68571429,1169.82352941,1.0,1.04586840389,-0.0922069026503,24.0,26.0,19.0,8.0,74.0,4.53872518946,-372.278700719,4.0,0.477139529661,-69.1908271908,-4.0,-0.613552642764,41.113003096,1.0
4368,202.0,149.0,2560.04697987,2368.64137931,4.0,1.28156755354,0.0748349548349,97.0,105.0,75.0,23.0,101.0,69.0,2641.1884058,2641.1884058,0.0,0.971174150547,0.14148461239,49.0,52.0,33.0,13.0,50.0,34.0,2261.88235294,2261.88235294,0.0,0.971539461646,0.154897159096,23.0,27.0,17.0,6.0,50.0,34.0,2999.64705882,2999.64705882,0.0,0.93378046856,0.148250870316,26.0,24.0,15.0,7.0,101.0,80.0,2490.0625,2121.19736842,4.0,1.62717931635,-0.00137185667521,48.0,53.0,42.0,10.0,50.0,41.0,1939.3902439,1758.6,1.0,1.83459413576,0.0215172489967,23.0,27.0,22.0,4.0,50.0,38.0,2892.60526316,2524.08333333,2.0,1.41080566757,-0.03091308359,24.0,26.0,20.0,6.0,51.0,2.07510990291,-218.597264438,0.0,-0.0377589930852,737.764705882,-3.0,-0.423788468188,765.483333333,1.0
4369,202.0,200.0,1105.23,1090.53535354,2.0,4.65949494293,-0.0148502360051,97.0,105.0,104.0,1.0,101.0,100.0,1214.78,1214.78,0.0,4.39624970494,0.128223021573,49.0,52.0,51.0,0.0,50.0,49.0,1175.63265306,1175.63265306,0.0,3.82298969296,0.12533928522,23.0,27.0,26.0,0.0,50.0,50.0,1244.64,1218.0,1.0,4.13910447666,0.0158033277,26.0,24.0,24.0,0.0,101.0,100.0,995.68,983.717171717,1.0,4.39191814119,-0.159124938896,48.0,53.0,53.0,1.0,50.0,50.0,923.42,923.42,0.0,4.13699962455,-0.0316656805715,23.0,27.0,27.0,0.0,50.0,49.0,1053.20408163,1029.72916667,1.0,3.81701996215,-0.176845584955,24.0,26.0,26.0,1.0,28.0,0.7662408237,-206.614035088,1.0,0.316114783701,42.3673469388,-1.0,-0.319979662392,106.309166667,0.0
4370,202.0,175.0,3149.55428571,2659.21637427,4.0,2.23490750139,0.09117859557,97.0,105.0,89.0,11.0,101.0,92.0,4530.48913043,3798.76404494,3.0,2.69795588097,0.0451952683828,49.0,52.0,47.0,4.0,50.0,44.0,2781.77272727,2616.93023256,1.0,2.34497858042,-0.0481510586394,23.0,27.0,24.0,3.0,50.0,47.0,6076.74468085,5042.06666667,2.0,3.15181916562,0.192915455709,26.0,24.0,22.0,1.0,101.0,83.0,1618.87951807,1483.6097561,1.0,1.86943396662,0.11975546846,48.0,53.0,42.0,7.0,50.0,44.0,1597.11363636,1338.65116279,1.0,2.60745512539,0.407947743813,23.0,27.0,22.0,1.0,50.0,38.0,1598.0,1497.37837838,1.0,1.41080566757,-0.03091308359,24.0,26.0,20.0,6.0,45.0,2.31761590815,-809.494708995,3.0,0.806840585203,2425.13643411,-6.0,-1.19664945782,158.727215588,1.0
4371,202.0,190.0,2045.37368421,1957.05347594,3.0,3.16185036636,-0.192305581565,97.0,105.0,101.0,8.0,101.0,96.0,1911.44791667,1846.30526316,1.0,3.46407503976,-0.337864311013,49.0,52.0,51.0,4.0,50.0,47.0,1414.5106383,1414.5106383,0.0,3.22450372441,-0.487913630638,23.0,27.0,27.0,3.0,50.0,48.0,2352.64583333,2230.36170213,1.0,3.50048943464,0.0185803211982,26.0,24.0,23.0,1.0,101.0,94.0,2182.14893617,2115.70967742,1.0,2.96693336465,-0.100472555225,48.0,53.0,50.0,4.0,50.0,47.0,1887.93617021,1747.2173913,1.0,3.1458929452,-0.213209088661,23.0,27.0,26.0,2.0,50.0,46.0,2444.10869565,2444.10869565,0.0,2.80907099937,-0.0215413725861,24.0,26.0,24.0,2.0,30.0,1.04273094202,-19.6596095036,1.0,0.275985710228,815.85106383,-1.0,-0.336821945826,696.891304348,0.0
